"License_Year_License_Number","Business_Name","Street_Address","City","State","Zip_Code","Business_Phone_Number","Classification_Code","Classification_Description","License_Expir_Date","Issue_Date","License_Fiscal_Year","License_Number","License_Status","License_Status_Description","Council_District","Council_District_Description","Full_Address","FID"
"2006-755","FIRST PRESBYTERIAN CHURCH","333 W COLFAX AVE","SOUTH BEND","IN","46601","(574) 234-4159","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","755","RN","Renewed","SB1","COUNCIL DISTRICT 1","333 W COLFAX AVE, SOUTH BEND, IN 46601","16663"
"2006-754","DOMINO'S PIZZA #2654","1627 EDISON RD","SOUTH BEND","IN","46637","(574) 271-0300","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-17T05:00:00.000Z","2006","754","RN","Renewed","SB4","COUNCIL DISTRICT 4","1627 EDISON RD, SOUTH BEND, IN 46637","16664"
"2006-753","RATHSKELLER","401 N HICKORY RD","SOUTH BEND","IN","46615","(574) 233-0300","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-05-15T04:00:00.000Z","2006","753","RN","Renewed","SB4","COUNCIL DISTRICT 4","401 N HICKORY RD, SOUTH BEND, IN 46615","16665"
"2006-752","JULIO'S PIZZA","2509 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 287-1034","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-07-14T04:00:00.000Z","2006","752","RN","Renewed","SB5","COUNCIL DISTRICT 5","2509 S MICHIGAN ST, SOUTH BEND, IN 46601","16666"
"2006-751","TONY CRUZ & SONS  --- DONT USE","24265 FILLMORE RD","SOUTH BEND","IN","46619","(574) 288-6543","ARBOR","ARBORIST/TREE SERVICE","2007-01-31T05:00:00.000Z","2006-03-06T05:00:00.000Z","2006","751","RN","Renewed","","","24265 FILLMORE RD, SOUTH BEND, IN 46619","16667"
"2006-750","FRANKIE'S BBQ","1132 SOUTH BEND AVE","SOUTH BEND","IN","46617","(574) 232-4038","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-19T04:00:00.000Z","2006","750","RN","Renewed","SB4","COUNCIL DISTRICT 4","1132 SOUTH BEND AVE, SOUTH BEND, IN 46617","16668"
"2006-749","EMPORIUM RESTAURANT-OLD","121 S NILES AVE","SOUTH BEND","IN","46601","(574) 234-9000","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","749","RN","Renewed","SB4","COUNCIL DISTRICT 4","121 S NILES AVE, SOUTH BEND, IN 46601","16669"
"2006-844","BRUNO'S ORIGINAL PIZZA","2610 PRAIRIE AVE","SOUTH BEND","IN","46614","(574) 288-3320","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","844","RN","Renewed","SB6","COUNCIL DISTRICT 6","2610 PRAIRIE AVE, SOUTH BEND, IN 46614","16670"
"2006-637","MEERT'S CLOTHING CARE","5215 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 289-2008","SSLAUN","SELF SERVICE LAUNDRY","2007-01-31T05:00:00.000Z","2006-03-07T05:00:00.000Z","2006","637","RN","Renewed","SB6","COUNCIL DISTRICT 6","5215 W SAMPLE ST, SOUTH BEND, IN 46619","16671"
"2006-594","INSTANT LUBE #2","5121 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 276-5656","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-13T05:00:00.000Z","2006","594","RN","Renewed","SB2","COUNCIL DISTRICT 2","5121 W WESTERN AVE, SOUTH BEND, IN 46601","16672"
