"","lon","lat","type","loctype","address","north","south","east","west","Outcome_St","Direction","Street_Nam","Suffix","Code_Enfor","Property_S","Program_De","Date_of_Ou","Council_Di","Zip_Code","ShapeSTAre","ShapeSTLen","OBJECTID","County_Tax","State_Parc","Address_Nu","Structures","Full_Address"
"0",-86.2841157,41.6946275,"premise","rooftop","1425 n olive st, south bend, in 46628, usa",41.6959753302915,41.6932773697085,-86.2827756697085,-86.2854736302915,"Demolished","N","Olive","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-22T00:00:00.000Z","1","46628",5052.90396118164,321.454619585216,"1","018-2108-4026","71-03-34-380-024.000-026","1425","House, Garage","1425 Olive ST South Bend, IN 46628"
"1",-86.278128,41.6961444,"premise","rooftop","1613 n brookfield st, south bend, in 46628, usa",41.6974977302915,41.6947997697085,-86.2767797697085,-86.2794777302915,"Deconstructed","N","Brookfield","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Deconstruction","2014-11-07T00:00:00.000Z","1","46628",4961.91766357422,329.692928033019,"2","018-2155-5733","71-03-34-476-027.000-026","1613","House, Garage","1613 Brookfield ST South Bend, IN 46628"
"2",-86.2804577,41.6958018,"premise","rooftop","1601 o brien st, south bend, in 46628, usa",41.6971554302915,41.6944574697085,-86.2791087197085,-86.2818066802915,"Demolished","N","O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-10-14T00:00:00.000Z","1","46628",5427.57684326172,347.317232719815,"3","018-2149-5559","71-03-34-453-030.000-026","1601","House, Shed, Fence","1601 O'Brien ST South Bend, IN 46628"
"3",-86.2787625,41.6958151,"premise","rooftop","1602 n johnson st, south bend, in 46628, usa",41.6971703802915,41.6944724197085,-86.2774253697085,-86.2801233302915,"Demolished",NA,"Johnson","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2014","2015-04-11T00:00:00.000Z","1","46628",4911.63458251953,327.690734426932,"4","018-2155-5738","71-03-34-476-015.000-026","1602","House","1602 Johnson ST South Bend, IN 46628"
"4",-86.2799125,41.6958134,"premise","rooftop","1602 o brien st, south bend, in 46628, usa",41.6971576302915,41.6944596697085,-86.2785641197085,-86.2812620802915,"Repaired",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2016-05-18T00:00:00.000Z","1","46628",5280.24682617188,337.987916043083,"5","018-2150-5588","71-03-34-454-014.000-026","1602","House, Garage, Fence","1602 O'Brien ST South Bend, IN 46628"
"5",-86.2661901,41.7009663,"premise","rooftop","1101 bryan st, south bend, in 46616, usa",41.7023270802915,41.6996291197085,-86.2648258697085,-86.2675238302915,"Repaired",NA,"Bryan","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-06-24T00:00:00.000Z","1","46616",5091.47915649414,336.917738184223,"6","018-2143-5367","71-03-35-326-009.000-026","1101","House, Shed","1101 Bryan ST South Bend, IN 46616"
"6",-86.2656745,41.7009496,"premise","rooftop","1025 bryan st, south bend, in 46616, usa",41.7023120302915,41.6996140697085,-86.2643376697085,-86.2670356302915,"Repaired","W","Bryan","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-12-17T00:00:00.000Z","1","46616",5293.15072631836,343.158850912231,"7","018-2143-5370","71-03-35-326-012.000-026","1025","House, Garage, Fence","1025 Bryan ST South Bend, IN 46616"
"7",-86.2652381,41.7009743,"premise","rooftop","1013 bryan st, south bend, in 46616, usa",41.7023423302915,41.6996443697085,-86.2638881697085,-86.2665861302915,"Repaired",NA,"Bryan","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-12-29T00:00:00.000Z","1","46616",5149.10961914062,339.39500342249,"8","018-2143-5373","71-03-35-326-015.000-026","1013","House, Garage","1013 Bryan ST South Bend, IN 46616"
"8",-86.2663089,41.7000615,"street_address","range_interpolated","1105 beale st, south bend, in 46616, usa",41.7014104802915,41.6987125197085,-86.2649599197085,-86.2676578802915,"Repaired",NA,"Beale","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2016-06-29T00:00:00.000Z",NA,"46616",5171.34371948242,337.152187278699,"9","018-2142-5323","71-03-35-327-023.000-026","1105","House","1105 Beale ST South Bend, IN 46616"
"9",-86.2661503,41.7000623,"street_address","range_interpolated","1101 beale st, south bend, in 46616, usa",41.7014112802915,41.6987133197085,-86.2648013197085,-86.2674992802915,"Repaired & Occupied",NA,"Beale","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-11-20T00:00:00.000Z","1","46616",5344.67874145508,339.853226680821,"10","018-2142-5325","71-03-35-327-024.000-026","1101","House","1101 Beale ST South Bend, IN 46616"
"10",-86.2804974,41.6989709,"premise","rooftop","1749 o brien st, south bend, in 46628, usa",41.7003136302915,41.6976156697085,-86.2791581197085,-86.2818560802915,"Demolished",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-08-08T00:00:00.000Z","1","46628",5521.34509277344,349.087124606287,"11","018-2122-4480","71-03-34-407-017.000-026","1749",NA,"1749 O'Brien ST South Bend, IN 46628"
"11",-86.2841157,41.6969596,"premise","rooftop","1645 n olive st, south bend, in 46628, usa",41.6983256302915,41.6956276697085,-86.2827582697085,-86.2854562302915,"Repaired","N","Olive","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-06-08T00:00:00.000Z","1","46628",4776.05349731445,318.800534417176,"12","018-2106-3956","71-03-34-378-019.000-026","1645","House, Fence","1645 Olive ST South Bend, IN 46628"
"12",-86.2836399,41.6969831,"premise","rooftop","1646 n olive st, south bend, in 46628, usa",41.6983248302915,41.6956268697085,-86.2822777197085,-86.2849756802915,NA,"N","Olive","ST","Repair Deadline Expired",NA,NA,NA,"1","46628",5258.39288330078,341.784443321404,"13","018-2147-5478","71-03-34-451-004.000-026","1646","House, Garage","1646 Olive ST South Bend, IN 46628"
"13",-86.2788021,41.6970213,"premise","rooftop","1646 n johnson st, south bend, in 46628, usa",41.6983660302915,41.6956680697085,-86.2774580697085,-86.2801560302915,"Demolished",NA,"Johnson","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2016","2016-11-09T00:00:00.000Z","1","46628",4904.76901245117,325.238426399258,"14","018-2155-5716","71-03-34-476-004.000-026","1646","House, Garage, Fence","1646 Johnson ST South Bend, IN 46628"
